"","Channel 3 Last (C)","Channel 3 Ave. (C)","Channel 3 Min. (C)","Channel 3 Max. (C)","Channel 7 Last (C)","Channel 7 Ave. (C)","Channel 7 Min. (C)","Channel 7 Max. (C)"
"00:01:44","52.824","52.824","52.824","52.824","41.963","41.963","41.963","41.963"
"00:01:45","52.782","52.782","52.782","52.782","41.899","41.899","41.899","41.899"
"00:01:46","52.731","52.731","52.731","52.731","41.837","41.837","41.837","41.837"
"00:01:47","52.699","52.699","52.699","52.699","41.786","41.786","41.786","41.786"
"00:01:48","52.652","52.652","52.652","52.652","41.733","41.733","41.733","41.733"
"00:01:49","52.608","52.608","52.608","52.608","41.677","41.677","41.677","41.677"
"00:01:50","52.568","52.568","52.568","52.568","41.626","41.626","41.626","41.626"
"00:01:51","52.525","52.525","52.525","52.525","41.570","41.570","41.570","41.570"
"00:01:52","52.472","52.472","52.472","52.472","41.506","41.506","41.506","41.506"
"00:01:53","52.429","52.429","52.429","52.429","41.455","41.455","41.455","41.455"
"00:01:54","52.394","52.394","52.394","52.394","41.413","41.413","41.413","41.413"
"00:01:55","52.344","52.344","52.344","52.344","41.350","41.350","41.350","41.350"
"00:01:56","52.298","52.298","52.298","52.298","41.297","41.297","41.297","41.297"
"00:01:57","52.260","52.260","52.260","52.260","41.246","41.246","41.246","41.246"
"00:01:58","52.202","52.202","52.202","52.202","41.179","41.179","41.179","41.179"
"00:01:59","52.161","52.161","52.161","52.161","41.128","41.128","41.128","41.128"
"00:02:00","52.128","52.128","52.128","52.128","41.086","41.086","41.086","41.086"
"00:02:01","52.079","52.079","52.079","52.079","41.028","41.028","41.028","41.028"
"00:02:02","52.045","52.045","52.045","52.045","40.984","40.984","40.984","40.984"
"00:02:03","52.005","52.005","52.005","52.005","40.937","40.937","40.937","40.937"
"00:02:04","51.954","51.954","51.954","51.954","40.884","40.884","40.884","40.884"
"00:02:05","51.920","51.920","51.920","51.920","40.835","40.835","40.835","40.835"
"00:02:06","51.882","51.882","51.882","51.882","40.797","40.797","40.797","40.797"
"00:02:07","51.831","51.831","51.831","51.831","40.727","40.727","40.727","40.727"
"00:02:08","51.793","51.793","51.793","51.793","40.691","40.691","40.691","40.691"
"00:02:09","51.758","51.758","51.758","51.758","40.649","40.649","40.649","40.649"
"00:02:10","51.708","51.708","51.708","51.708","40.591","40.591","40.591","40.591"
"00:02:11","51.671","51.671","51.671","51.671","40.551","40.551","40.551","40.551"
"00:02:12","51.635","51.635","51.635","51.635","40.513","40.513","40.513","40.513"
"00:02:13","51.592","51.592","51.592","51.592","40.462","40.462","40.462","40.462"
"00:02:14","51.554","51.554","51.554","51.554","40.418","40.418","40.418","40.418"
"00:02:15","51.521","51.521","51.521","51.521","40.372","40.372","40.372","40.372"
"00:02:16","51.463","51.463","51.463","51.463","40.318","40.318","40.318","40.318"
"00:02:17","51.430","51.430","51.430","51.430","40.280","40.280","40.280","40.280"
"00:02:18","51.403","51.403","51.403","51.403","40.247","40.247","40.247","40.247"
"00:02:19","51.361","51.361","51.361","51.361","40.199","40.199","40.199","40.199"
"00:02:20","51.325","51.325","51.325","51.325","40.158","40.158","40.158","40.158"
"00:02:21","51.291","51.291","51.291","51.291","40.121","40.121","40.121","40.121"
"00:02:22","51.240","51.240","51.240","51.240","40.070","40.070","40.070","40.070"
"00:02:23","51.209","51.209","51.209","51.209","40.026","40.026","40.026","40.026"
"00:02:24","51.173","51.173","51.173","51.173","39.984","39.984","39.984","39.984"
"00:02:25","51.120","51.120","51.120","51.120","39.924","39.924","39.924","39.924"
"00:02:26","51.086","51.086","51.086","51.086","39.880","39.880","39.880","39.880"
"00:02:27","51.048","51.048","51.048","51.048","39.844","39.844","39.844","39.844"
"00:02:28","51.001","51.001","51.001","51.001","39.790","39.790","39.790","39.790"
"00:02:29","50.970","50.970","50.970","50.970","39.752","39.752","39.752","39.752"
"00:02:30","50.930","50.930","50.930","50.930","39.701","39.701","39.701","39.701"
"00:02:31","50.886","50.886","50.886","50.886","39.653","39.653","39.653","39.653"
"00:02:32","50.850","50.850","50.850","50.850","39.611","39.611","39.611","39.611"
"00:02:33","50.812","50.812","50.812","50.812","39.575","39.575","39.575","39.575"
