wavelength (nm),air,water,glycerol,rhodaine-2pc
529.12,2246.7,1123.4,2549.9,136.3
529.48,2279.6,1132.4,2568,137
529.83,2277.4,1138.9,2565,136.9
530.19,2277.9,1143,2577.3,137.7
530.55,2277.5,1158.8,2593.5,136
530.91,2279.3,1166.9,2595.6,136.1
531.26,2309.6,1178.4,2615.7,135.6
531.62,2304.6,1188.4,2614.5,137.5
531.98,2330,1210.1,2639.1,137
532.33,2319.7,1209.2,2626.1,136.4
532.69,2327.8,1223.7,2645.1,136.9
533.05,2356.8,1248,2682.6,137.2
533.4,2348.8,1256.8,2681.7,136.3
533.76,2363.1,1276.8,2684.7,135.6
534.12,2391,1298.6,2712.7,135.6
534.47,2376.1,1313.6,2711.8,136.7
534.83,2383,1331.4,2725.6,136.1
535.19,2405.8,1360.8,2747.2,136.9
535.54,2426.6,1378.5,2761,136.1
535.9,2428.3,1384.3,2765.2,136.2
536.26,2435.4,1417.8,2782.9,136.8
536.61,2440.5,1433.2,2782.5,136.4
536.97,2445.3,1461.8,2792.1,137.4
537.32,2468.5,1491,2806.4,135.6
537.68,2482,1515,2835.3,136.3
538.04,2500.5,1540.8,2854.8,135.5
538.39,2506.7,1565.8,2858.2,137.5
538.75,2509.9,1594.3,2873.5,137.3
539.11,2516.6,1616.7,2865.3,136.8
539.46,2534.3,1652.4,2894.5,136.2
539.82,2524.7,1674.4,2881.1,136.3
540.17,2557.5,1717,2916.5,136.8
540.53,2568.1,1726.6,2933.7,135.8
540.88,2570.8,1759.1,2931.4,135.9
541.24,2573.2,1784.9,2927.4,137
541.6,2593.8,1820.7,2944.9,137.5
541.95,2606.3,1855,2954.4,136.7
542.31,2599.1,1876.7,2961.4,135.2
542.66,2632.1,1914.1,2996.3,136.6
543.02,2632.1,1937.5,3000.1,137.1
543.37,2631.6,1978.1,3004,135.5
543.73,2632,1988.1,3004,137.1
544.09,2649.5,2018.5,3017,136.3
544.44,2657.5,2044.6,3025.2,137.1
544.8,2653.2,2070.1,3031.1,136.8
545.15,2653.2,2096.4,3046.7,136.4
545.51,2669.3,2127.7,3066.1,136.4
545.86,2697.3,2172.7,3085.6,135.6
546.22,2685.1,2187,3083.2,136.5
546.57,2702.5,2223.7,3096.9,136.4
546.93,2691.6,2236.7,3090.7,137
547.28,2707.4,2263.3,3116,135.7
547.64,2715,2296.7,3125.6,135.4
547.99,2710.6,2302.5,3128.5,136.8
548.35,2729,2337.6,3125,137.3
548.7,2721.3,2347.5,3105.1,136.4
549.06,2724.8,2382.3,3146.2,137.5
549.41,2734.9,2413.4,3165,137.1
549.77,2741.2,2410.4,3137.3,135.5
550.12,2747.1,2447.8,3162.2,136.3
550.48,2753,2457.8,3163.1,136.3
550.83,2757.6,2475.3,3138.1,136
551.19,2740.2,2496.3,3149.6,137
551.54,2750.5,2520.2,3154.3,136.8
551.9,2753.1,2531.3,3154.7,136.3
552.25,2757,2549.6,3170.8,136
552.61,2755.9,2569.9,3176.7,137.2
552.96,2753,2576.7,3175.7,136
553.32,2766.3,2604.1,3182.2,136.7
553.67,2759.3,2598.2,3180.4,136.5
554.02,2768.2,2619.7,3189.1,136
554.38,2767.4,2621.8,3180.9,136.1
554.73,2774.4,2642.9,3193.2,135.9
555.09,2762.2,2647,3184.2,136.6
555.44,2767.4,2649.2,3187.1,136.7
555.8,2772.7,2666.4,3200.2,136.3
556.15,2782.3,2681.5,3201.3,136.9
556.5,2784.2,2688.8,3190.7,136.4
556.86,2787.3,2698.3,3179.4,136
557.21,2775,2706,3174.6,137
557.57,2786.3,2719.7,3203.3,136.6
557.92,2785.2,2712.7,3193,136.1
558.27,2798.9,2736.5,3203.5,136.6
558.63,2786.9,2737.6,3203.4,136.6
558.98,2773.4,2728.7,3196.2,135.3
559.34,2796,2741.8,3202.7,137.2
559.69,2789.3,2751.5,3200.8,137.5
560.04,2786.8,2758.2,3198.3,136.9
560.4,2779.4,2771.8,3199.6,136.7
560.75,2766.4,2766.1,3202.4,136.8
561.1,2783.9,2777.8,3218.4,135.5
561.46,2783.8,2763.9,3192.5,136.3
561.81,2784.8,2778.2,3200.4,136.3
562.16,2771.7,2771.5,3204,136
562.52,2773.4,2780.6,3204.9,136.4
562.87,2779.6,2779.2,3222.5,136.5
563.23,2765.3,2782.6,3228.5,136.6
563.58,2781.3,2816.4,3240.2,136.3
563.93,2775.1,2793.1,3216.5,136.6
564.28,2776.5,2803.4,3212.4,135.8
564.64,2788.1,2808.2,3230.6,135.7
564.99,2765.2,2804.9,3222.6,136
565.34,2791.3,2818.7,3241.3,135.8
565.7,2784.4,2809.8,3218.3,135.6
566.05,2793.7,2845.7,3230.9,136.4
566.4,2786.1,2842.9,3220.7,136.4
566.76,2785.6,2832.7,3228.9,136.5
567.11,2782,2832.8,3225.4,136
567.46,2792.5,2837,3230.4,136.1
567.82,2787,2825.9,3236,136.2
568.17,2794.4,2846.2,3222.5,135.4
568.52,2799.9,2852.6,3251.6,137.5
568.87,2797.7,2861.2,3233,136.8
569.23,2811.8,2877.7,3255.7,136.2
569.58,2819.3,2885,3250.6,135.3
569.93,2803.5,2878.3,3272,136.3
570.28,2807,2857.9,3257.3,135.2
570.64,2830.1,2881.9,3276.2,136.3
570.99,2832.7,2880.7,3279.2,137.1
571.34,2818.6,2885.4,3280.8,136.1
571.69,2820.5,2870.7,3267.1,134.1
572.05,2829.7,2898.4,3284.7,135.1
572.4,2825.7,2877.2,3277.2,134.8
572.75,2832.9,2891.5,3280,135.5
573.1,2831.9,2899.1,3301.4,136.4
573.46,2843.3,2924.4,3319.9,135
573.81,2838.8,2911.3,3322.8,136.1
574.16,2856.7,2917.9,3319.8,136.1
574.51,2845.9,2919.4,3314.6,136.7
574.86,2845.6,2927.9,3328.8,134.7
575.22,2868.3,2923.6,3330.4,136.4
575.57,2874.3,2942.4,3343.3,136.1
575.92,2869.3,2956.6,3344.9,135.9
576.27,2878.8,2957.1,3357.3,135.9
576.62,2864.3,2943.6,3352.1,135.9
576.97,2889.7,2965.6,3382.1,136.4
577.33,2908.3,2986.7,3402.5,136.5
577.68,2877.8,2943.6,3344,136.4
578.03,2912.8,2978.2,3398.9,136.5
578.38,2895.7,2977.7,3401.6,137.4
578.73,2914.5,2991.9,3399.7,136.7
579.08,2916.6,2989.8,3419,136.6
579.44,2931.8,3010.1,3432.5,136.4
579.79,2938.7,3001.1,3409.8,135.7
580.14,2955.2,3008.3,3410.8,136.5
580.49,2971.6,3020.7,3419.6,136.2
580.84,2955.7,3020,3438.1,134.4
581.19,2955.7,3034,3436.1,134.5
581.54,2975.6,3048.1,3450.1,134.7
581.9,2987.3,3064.7,3461.8,134.9
582.25,2992.1,3069.8,3481.7,136.1
582.6,2984.9,3076.1,3487.1,136.4
582.95,2992.5,3084.1,3464.4,136.3
583.3,2970.6,3067.2,3470.1,136.7
583.65,3014.9,3105.2,3520.2,136.5
584,3012,3077.6,3514.2,135.8
584.35,3014.2,3114.7,3531.6,136.2
584.7,3026.3,3129.6,3544,136.5
585.05,3038.9,3131.7,3554.2,135.7
