wavelength (nm),Spectral irradiance (W⋅m–2⋅nm–1),Cumulative photon flux (cm–2⋅s–1)
582,1.528,7.418E+016
583,1.539,7.463E+016
584,1.539,7.508E+016
585,1.526,7.553E+016
586,1.499,7.598E+016
587,1.513,7.642E+016
588,1.469,7.686E+016
589,1.325,7.725E+016
590,1.371,7.766E+016
591,1.445,7.809E+016
592,1.436,7.851E+016
593,1.446,7.895E+016
594,1.44,7.938E+016
595,1.436,7.981E+016
596,1.465,8.024E+016
597,1.469,8.069E+016
598,1.461,8.113E+016
599,1.461,8.157E+016
600,1.466,8.201E+016
601,1.45,8.245E+016
602,1.436,8.288E+016
603,1.46,8.332E+016
604,1.486,8.378E+016
605,1.489,8.423E+016
606,1.483,8.468E+016
607,1.488,8.514E+016
608,1.48,8.559E+016
609,1.47,8.604E+016
610,1.461,8.649E+016
611,1.463,8.694E+016
612,1.475,8.739E+016
613,1.456,8.784E+016
614,1.424,8.828E+016
615,1.458,8.873E+016
616,1.433,8.918E+016
617,1.419,8.962E+016
618,1.455,9.007E+016
619,1.469,9.053E+016
620,1.471,9.098E+016
621,1.471,9.144E+016
622,1.426,9.189E+016
623,1.411,9.233E+016
624,1.409,9.277E+016
625,1.401,9.322E+016
626,1.405,9.366E+016
627,1.425,9.411E+016
628,1.376,9.454E+016
629,1.401,9.499E+016
630,1.395,9.543E+016
631,1.401,9.587E+016
632,1.378,9.631E+016
633,1.435,9.677E+016
634,1.426,9.722E+016
635,1.434,9.768E+016
636,1.42,9.813E+016
637,1.455,9.86E+016
638,1.468,9.907E+016
639,1.458,9.954E+016
640,1.434,1E+017
641,1.43,1.005E+017
642,1.433,1.009E+017
643,1.446,1.014E+017
644,1.443,1.019E+017
645,1.444,1.023E+017
646,1.414,1.028E+017
647,1.4,1.032E+017
648,1.386,1.037E+017
649,1.356,1.041E+017
650,1.369,1.046E+017
651,1.423,1.051E+017
652,1.394,1.055E+017
653,1.421,1.06E+017
654,1.405,1.064E+017
655,1.336,1.069E+017
656,1.209,1.073E+017
657,1.25,1.077E+017
658,1.364,1.081E+017
659,1.39,1.086E+017
660,1.398,1.091E+017
661,1.39,1.095E+017
662,1.381,1.1E+017
663,1.381,1.105E+017
664,1.393,1.109E+017
665,1.416,1.114E+017
666,1.419,1.119E+017
667,1.411,1.123E+017
668,1.414,1.128E+017
669,1.434,1.133E+017
670,1.421,1.138E+017
671,1.409,1.143E+017
672,1.395,1.147E+017
673,1.406,1.152E+017
674,1.4,1.157E+017
675,1.394,1.161E+017
676,1.406,1.166E+017
677,1.401,1.171E+017
678,1.399,1.176E+017
679,1.391,1.181E+017
680,1.39,1.185E+017
681,1.39,1.19E+017
682,1.389,1.195E+017
683,1.38,1.2E+017
684,1.371,1.204E+017
685,1.366,1.209E+017
686,1.297,1.213E+017
687,1.031,1.217E+017
688,1.101,1.221E+017
689,1.128,1.225E+017
690,1.179,1.229E+017
691,1.229,1.233E+017
692,1.264,1.238E+017
693,1.259,1.242E+017
694,1.246,1.246E+017
695,1.265,1.251E+017
696,1.271,1.255E+017
697,1.328,1.26E+017
698,1.319,1.264E+017
699,1.293,1.269E+017
700,1.279,1.273E+017
701,1.263,1.278E+017
702,1.261,1.282E+017
703,1.273,1.287E+017
704,1.299,1.291E+017
705,1.316,1.296E+017
706,1.311,1.301E+017
707,1.309,1.305E+017
708,1.303,1.31E+017
709,1.309,1.315E+017
710,1.31,1.319E+017
711,1.309,1.324E+017
712,1.3,1.329E+017
713,1.293,1.333E+017
714,1.294,1.338E+017
715,1.266,1.343E+017
716,1.248,1.347E+017
717,1.113,1.351E+017
718,1.025,1.355E+017
719,0.9424,1.358E+017
720,0.9874,1.362E+017
721,1.088,1.366E+017
722,1.208,1.37E+017
723,1.141,1.374E+017
724,1.06,1.378E+017
725,1.046,1.382E+017
726,1.075,1.386E+017
727,1.075,1.39E+017
728,1.045,1.394E+017
729,1.051,1.398E+017
730,1.111,1.402E+017
731,1.088,1.406E+017
732,1.145,1.41E+017
733,1.19,1.414E+017
734,1.223,1.419E+017
735,1.211,1.423E+017
736,1.201,1.428E+017
737,1.203,1.432E+017
738,1.214,1.437E+017
739,1.198,1.441E+017
740,1.215,1.446E+017
741,1.211,1.45E+017
742,1.214,1.455E+017
743,1.238,1.459E+017
744,1.249,1.464E+017
745,1.249,1.469E+017
746,1.241,1.473E+017
747,1.24,1.478E+017
748,1.239,1.483E+017
749,1.231,1.487E+017
750,1.23,1.492E+017
751,1.23,1.497E+017
752,1.229,1.501E+017
753,1.224,1.506E+017
754,1.236,1.511E+017
755,1.23,1.515E+017
756,1.221,1.52E+017
757,1.221,1.524E+017
758,1.224,1.529E+017
759,1.079,1.533E+017
760,0.3668,1.535E+017
761,0.2344,1.536E+017
762,0.581,1.538E+017
763,0.4364,1.539E+017
764,0.5355,1.542E+017
765,0.6816,1.544E+017
766,0.8159,1.547E+017
767,0.9685,1.551E+017
768,1.094,1.555E+017
769,1.124,1.56E+017
770,1.156,1.564E+017
771,1.169,1.569E+017
772,1.17,1.573E+017
773,1.17,1.578E+017
774,1.17,1.582E+017
775,1.171,1.587E+017
776,1.178,1.591E+017
777,1.171,1.596E+017
778,1.17,1.601E+017
779,1.169,1.605E+017
780,1.161,1.61E+017
781,1.16,1.614E+017
782,1.16,1.619E+017
783,1.159,1.623E+017
784,1.153,1.628E+017
785,1.159,1.633E+017
786,1.158,1.637E+017
787,1.141,1.642E+017
788,1.13,1.646E+017
789,1.118,1.651E+017
790,1.095,1.655E+017
791,1.098,1.659E+017
792,1.09,1.664E+017
793,1.083,1.668E+017
794,1.089,1.672E+017
795,1.088,1.677E+017
796,1.075,1.681E+017
797,1.09,1.685E+017
798,1.105,1.69E+017
799,1.09,1.694E+017
800,1.074,1.698E+017
801,1.079,1.703E+017
802,1.078,1.707E+017
803,1.065,1.711E+017
804,1.074,1.716E+017
805,1.059,1.72E+017
806,1.084,1.724E+017
807,1.081,1.729E+017
808,1.076,1.733E+017
809,1.054,1.738E+017
810,1.05,1.742E+017
811,1.046,1.746E+017
812,1.023,1.75E+017
813,0.9976,1.754E+017
814,0.9136,1.758E+017
815,0.8861,1.762E+017
816,0.8403,1.765E+017
817,0.843,1.769E+017
818,0.834,1.772E+017
819,0.8871,1.776E+017
820,0.8815,1.779E+017
821,0.9723,1.783E+017
822,0.92,1.787E+017
823,0.7384,1.79E+017
824,0.9038,1.794E+017
825,0.9581,1.798E+017
826,0.9419,1.802E+017
827,0.9588,1.806E+017
828,0.8739,1.809E+017
829,0.9153,1.813E+017
830,0.9158,1.817E+017
831,0.9164,1.821E+017
832,0.9034,1.825E+017
833,0.9434,1.829E+017
834,0.9425,1.833E+017
835,0.9876,1.837E+017
836,0.9788,1.841E+017
837,1.003,1.845E+017
838,0.998,1.849E+017
839,0.9993,1.854E+017
840,1.009,1.858E+017
841,1.008,1.862E+017
842,0.9968,1.866E+017
843,0.9971,1.871E+017
844,0.9885,1.875E+017
845,1.008,1.879E+017
846,1.015,1.883E+017
847,0.9929,1.888E+017
848,0.9883,1.892E+017
849,0.9723,1.896E+017
850,0.9126,1.9E+017
851,0.9613,1.904E+017
852,0.967,1.908E+017
853,0.9485,1.912E+017
854,0.8708,1.916E+017
855,0.9099,1.92E+017
856,0.9649,1.924E+017
857,0.9866,1.928E+017
858,0.989,1.933E+017
859,0.9885,1.937E+017
860,0.9854,1.941E+017
861,0.9851,1.945E+017
862,0.9918,1.95E+017
863,0.9945,1.954E+017
864,0.9768,1.958E+017
865,0.9479,1.962E+017
866,0.8694,1.966E+017
867,0.9101,1.97E+017
868,0.9495,1.974E+017
869,0.9504,1.978E+017
870,0.961,1.983E+017
871,0.9544,1.987E+017
872,0.9611,1.991E+017
873,0.9533,1.995E+017
874,0.9383,1.999E+017
875,0.929,2.003E+017
876,0.9471,2.008E+017
877,0.9523,2.012E+017
878,0.9484,2.016E+017
879,0.9364,2.02E+017
880,0.9328,2.024E+017
881,0.9129,2.028E+017
882,0.9266,2.032E+017
883,0.9278,2.036E+017
884,0.9311,2.041E+017
885,0.9359,2.045E+017
886,0.91,2.049E+017
887,0.9091,2.053E+017
888,0.92,2.057E+017
889,0.9291,2.061E+017
890,0.9226,2.065E+017
891,0.9206,2.069E+017
892,0.9038,2.073E+017
893,0.8726,2.077E+017
894,0.847,2.081E+017
895,0.8094,2.085E+017
896,0.7544,2.088E+017
897,0.6825,2.091E+017
898,0.6884,2.094E+017
899,0.5923,2.097E+017
900,0.6981,2.1E+017
901,0.6243,2.103E+017
902,0.6601,2.106E+017
903,0.7038,2.109E+017
904,0.8193,2.113E+017
905,0.8131,2.117E+017
906,0.7613,2.12E+017
907,0.6556,2.123E+017
908,0.6549,2.126E+017
909,0.6856,2.129E+017
910,0.6383,2.132E+017
911,0.6633,2.135E+017
912,0.6769,2.138E+017
913,0.6343,2.141E+017
914,0.6316,2.144E+017
915,0.657,2.147E+017
916,0.6068,2.15E+017
917,0.6918,2.153E+017
918,0.6264,2.156E+017
919,0.7194,2.159E+017
920,0.7459,2.163E+017
921,0.7635,2.166E+017
922,0.7136,2.17E+017
923,0.7344,2.173E+017
924,0.7208,2.176E+017
925,0.7093,2.18E+017
926,0.7125,2.183E+017
927,0.7499,2.187E+017
928,0.6079,2.189E+017
929,0.5399,2.192E+017
930,0.443,2.194E+017
931,0.3974,2.196E+017
932,0.307,2.197E+017
933,0.2414,2.198E+017
934,0.1695,2.199E+017
935,0.2255,2.2E+017
936,0.1724,2.201E+017
937,0.1674,2.202E+017
938,0.2201,2.203E+017
939,0.3823,2.205E+017
940,0.4486,2.207E+017
941,0.3875,2.209E+017
942,0.3841,2.211E+017
943,0.2946,2.212E+017
944,0.2944,2.213E+017
945,0.3351,2.215E+017
946,0.2376,2.216E+017
947,0.3359,2.218E+017
948,0.3126,2.219E+017
949,0.4223,2.221E+017
950,0.2321,2.222E+017
951,0.4134,2.224E+017
952,0.3041,2.226E+017
953,0.3436,2.227E+017
954,0.4026,2.229E+017
955,0.3488,2.231E+017
956,0.3215,2.233E+017
957,0.3009,2.234E+017
958,0.4254,2.236E+017
959,0.3896,2.238E+017
960,0.4184,2.24E+017
961,0.4525,2.242E+017
962,0.4513,2.244E+017
963,0.4903,2.247E+017
964,0.4685,2.249E+017
965,0.4963,2.251E+017
966,0.5011,2.254E+017
967,0.5196,2.256E+017
968,0.6356,2.259E+017
969,0.6734,2.263E+017
970,0.6493,2.266E+017
971,0.6989,2.269E+017
972,0.6791,2.273E+017
973,0.6113,2.276E+017
974,0.5796,2.278E+017
975,0.584,2.281E+017
976,0.5806,2.284E+017
977,0.6256,2.287E+017
978,0.6189,2.29E+017
979,0.629,2.293E+017
980,0.6206,2.296E+017
981,0.6949,2.3E+017
982,0.6898,2.303E+017
983,0.6784,2.307E+017
984,0.7204,2.31E+017
985,0.7,2.314E+017
986,0.7396,2.317E+017
987,0.738,2.321E+017
988,0.7353,2.325E+017
989,0.7431,2.328E+017
990,0.7348,2.332E+017
991,0.7481,2.336E+017
